canonical_hobby,merged_group
line dancing,"line dancing, Line dancing, Line‑dancing, Senior line dancing, Line Dancing"
Electronics restoration,"Electronics restoration, Electronics Repair"
Vintage audio equipment restoration,Vintage audio equipment restoration
Attending Live Music in Downtown St. Petersburg,Attending Live Music in Downtown St. Petersburg
Volunteer reading to seniors in a library,Volunteer reading to seniors in a library
Journaling for emotional expression,"Journaling for emotional expression, Daily journaling for emotional processing, Journaling for emotional regulation"
Clapping rhythmic games with a familiar adult,Clapping rhythmic games with a familiar adult
Reading automotive and logistics publications,Reading automotive and logistics publications
"Photography (urban, landscape, vintage vehicles)","Photography (urban, landscape, vintage vehicles)"
Volunteering at local maker space,"Volunteering at local maker space, Makerspace volunteering, Volunteering at makerspace"
Volunteering at Polynesian Cultural Center,Volunteering at Polynesian Cultural Center
Attending Atlanta Braves baseball games,Attending Atlanta Braves baseball games
reading about African-American art history,reading about African-American art history
Community softball/ultimate frisbee,Community softball/ultimate frisbee
Industrial photography,Industrial photography
vintage clock restoration,vintage clock restoration
Hiking local trails in Solano County,Hiking local trails in Solano County
Learning about Ecuadorian literature,Learning about Ecuadorian literature
Local history museums,Local history museums
volunteering at language exchange,"volunteering at language exchange, Volunteering for Language Classes, Volunteering at community language workshops"
Bilingual literature club (reading Spanish novels privately),"Bilingual literature club (reading Spanish novels privately), Bilingual Book Club"
Reading engineering/non‑fiction books,"Reading engineering/non‑fiction books, Reading nonfiction on engineering and technology"
Fantasy football,"Fantasy football, Fantasy Football"
Attending truck and diesel vehicle meetups,Attending truck and diesel vehicle meetups
Maker community meetups and hackathons,"Maker community meetups and hackathons, Small maker meet‑ups and hackathon workshops"
Baking pies and preserves,"Baking pies and preserves, Baking pies"
Fishing at the reservoir,"Fishing at the reservoir, Fishing at Pactola Reservoir"
Attending local coding meet‑ups,Attending local coding meet‑ups
Reading nonfiction on ecology and crafts,Reading nonfiction on ecology and crafts
"Online strategy gaming (e.g., chess, real-time strategy)","Online strategy gaming (e.g., chess, real-time strategy), online strategy gaming"
Small programming meetups,Small programming meetups
Cooking experimental Tex‑Mex fusion dishes,Cooking experimental Tex‑Mex fusion dishes
Collecting vintage medical instruments,"Collecting vintage medical instruments, Collecting Vintage Scientific Instruments"
Walking/Hiking along the Hudson River,Walking/Hiking along the Hudson River
Reading science‑fiction and technology essays,Reading science‑fiction and technology essays
Exploring Hudson County food scene,Exploring Hudson County food scene
Walking along the Erie Canal,Walking along the Erie Canal
"Reading psychology, entrepreneurship, and modern art books","Reading psychology, entrepreneurship, and modern art books"
Volunteering in community carpentry workshops,"Volunteering in community carpentry workshops, Volunteering to teach carpentry"
Mariachi violin,Mariachi violin
cooking Italian and Southern seafood dishes,cooking Italian and Southern seafood dishes
stage design,stage design
Algorithmic Music Production,Algorithmic Music Production
Cooking traditional Latin American meals with a modern twist,"Cooking traditional Latin American meals with a modern twist, Cooking Latin American cuisine"
Running (3–5 miles),Running (3–5 miles)
Cooking experimental recipes with his wife,Cooking experimental recipes with his wife
Playing Marimba and Listening to Latin Jazz,Playing Marimba and Listening to Latin Jazz
baby tambourine shaking,baby tambourine shaking
Group lullabies and storytime,Group lullabies and storytime
Digital art creation with Procreate,"Digital art creation with Procreate, digital art (Procreate)"
Surfing at Santa Monica,Surfing at Santa Monica
Watching classic TV series and movies,"Watching classic TV series and movies, Watching classic drama films"
Exploring local art exhibitions and live music venues,Exploring local art exhibitions and live music venues
Collecting vintage hair styling tools,Collecting vintage hair styling tools
Reading magical realism and Cuban folklore,Reading magical realism and Cuban folklore
Attending intimate live jazz concerts,Attending intimate live jazz concerts
Reading practical manuals and local history,Reading practical manuals and local history
Helping in the kitchen (making pupusas),Helping in the kitchen (making pupusas)
Local history projects,Local history projects
Playing strategic online games,Playing strategic online games
3D printing prototype molds,3D printing prototype molds
Logic games,Logic games
Participating in automotive forums,Participating in automotive forums
Coloring and drawing simple pictures,"Coloring and drawing simple pictures, drawing/coloring, drawing and coloring pictures"
turning pages of picture books and naming objects,"turning pages of picture books and naming objects, Turning pages of picture books"
Traveling to cultural sites in Mexico,Traveling to cultural sites in Mexico
Hiking Door County trails,Hiking Door County trails
exploring desert habitats,exploring desert habitats
Scouting and hiking,Scouting and hiking
culinary experimentation with global cuisines,culinary experimentation with global cuisines
Contemporary Dance,Contemporary Dance
Reading modernist architecture and ecological design books,Reading modernist architecture and ecological design books
Attending tech meetups on AI and VR,Attending tech meetups on AI and VR
Women’s bowling league,Women’s bowling league
maintaining a design blog,maintaining a design blog
Historic walking tours of San Francisco,Historic walking tours of San Francisco
Playing with trains,Playing with trains
Electronics tinkering and home‑automation projects,Electronics tinkering and home‑automation projects
Playing rhythm guitar in community band,"Playing rhythm guitar in community band, Playing guitar in a community band"
Teaching critical-thinking workshops to teens,Teaching critical-thinking workshops to teens
reading the local newspaper,reading the local newspaper
Building Raspberry Pi IoT projects,Building Raspberry Pi IoT projects
"Reading non-fiction on neuroscience, psychology, and philosophy","Reading non-fiction on neuroscience, psychology, and philosophy"
solving picture puzzles,solving picture puzzles
Reading East Asian literature,Reading East Asian literature
Hiking in the Organ Mountains,Hiking in the Organ Mountains
Attending Georgia Folk Festival,Attending Georgia Folk Festival
Photography of urban landscapes and food,Photography of urban landscapes and food
Hiking in the Piedmont region,"Hiking in the Piedmont region, Hiking in the Piedmont"
Listening to and dancing to Banda/Ranchera music,"Listening to and dancing to Banda/Ranchera music, Listening to banda, norteña, and ranchera music"
Art club,"Art club, art club"
Hiking and nature walks in the Oregon countryside,Hiking and nature walks in the Oregon countryside
Scratch Jr. storytelling,Scratch Jr. storytelling
Poker and chess,Poker and chess
Volunteer youth soccer coaching,Volunteer youth soccer coaching
listening to children's classical music,listening to children's classical music
Volunteering at the Auburn Public Library's outreach program,"Volunteering at the Auburn Public Library's outreach program, Volunteering at the local library’s STEM outreach program"
Volunteering at Taunton Historical Society,Volunteering at Taunton Historical Society
Reading biographies of African‑American leaders and financial news,Reading biographies of African‑American leaders and financial news
